,SYMBOL,P/C,EXPIRATION,STRIKE-PRICE,MARK-PRICE,OPEN-INTEREST
0,2DJX,C,06 21 2024,00391 160,3.7053,2587
1,2DJX,P,06 21 2024,00391 160,14.7340,2587
2,2DJX,C,06 21 2024,00392 730,3.2109,12888
3,2DJX,P,06 21 2024,00392 730,15.7942,12888
4,2DJX,C,06 21 2024,00392 820,3.1839,8375
5,2DJX,P,06 21 2024,00392 820,15.8563,8375
6,2DJX,C,06 21 2024,00393 000,3.1304,79
7,2DJX,P,06 21 2024,00393 000,15.9811,79
8,2DJX,C,06 21 2024,00393 300,3.0425,3860
9,2DJX,P,06 21 2024,00393 300,16.1903,3860
10,2DJX,C,06 21 2024,00393 310,3.0396,643
11,2DJX,P,06 21 2024,00393 310,16.1973,643
12,2DJX,C,06 21 2024,00395 130,2.5441,512
13,2DJX,P,06 21 2024,00395 130,17.5039,512
14,2DJX,P,08 16 2024,00360 000,5.2520,400
15,2DJX,C,09 20 2024,00363 890,26.4358,4245
16,2DJX,P,09 20 2024,00363 890,7.0726,4245
17,2DJX,C,10 18 2024,00400 010,7.8666,1000
18,2DJX,C,11 15 2024,00400 010,9.5872,2000
19,2DJX,C,12 20 2024,00240 470,141.8257,1173
20,2DJX,P,12 20 2024,00240 470,0.8934,1173
21,2DJX,C,12 20 2024,00251 150,131.7312,940
22,2DJX,P,12 20 2024,00251 150,1.1050,940
23,2DJX,C,12 20 2024,00261 010,122.4990,910
24,2DJX,P,12 20 2024,00261 010,1.3877,910
25,2DJX,C,12 20 2024,00262 810,120.8152,360
26,2DJX,P,12 20 2024,00262 810,1.4409,360
27,2DJX,C,12 20 2024,00264 120,119.5898,1700
28,2DJX,P,12 20 2024,00264 120,1.4797,1700
29,2DJX,C,12 20 2024,00265 310,118.4767,1614
30,2DJX,P,12 20 2024,00265 310,1.5149,1614
31,2DJX,C,12 20 2024,00265 890,117.9342,893
32,2DJX,P,12 20 2024,00265 890,1.5321,893
33,2DJX,C,12 20 2024,00266 520,117.3449,579
34,2DJX,P,12 20 2024,00266 520,1.5507,579
35,2DJX,C,12 20 2024,00268 000,115.9605,1062
36,2DJX,P,12 20 2024,00268 000,1.5945,1062
37,2DJX,C,12 20 2024,00270 260,113.8465,1100
38,2DJX,P,12 20 2024,00270 260,1.6614,1100
39,2DJX,C,12 20 2024,00270 910,113.2385,2113
40,2DJX,P,12 20 2024,00270 910,1.6806,2113
41,2DJX,C,12 20 2024,00271 050,113.1075,1233
42,2DJX,P,12 20 2024,00271 050,1.6848,1233
43,2DJX,C,12 20 2024,00271 080,113.0795,528
44,2DJX,P,12 20 2024,00271 080,1.6857,528
45,2DJX,C,12 20 2024,00271 750,112.4527,1078
46,2DJX,P,12 20 2024,00271 750,1.7055,1078
47,2DJX,C,12 20 2024,00273 520,110.7971,715
48,2DJX,P,12 20 2024,00273 520,1.7579,715
49,2DJX,C,12 20 2024,00276 520,107.9909,1721
50,2DJX,P,12 20 2024,00276 520,1.8467,1721
51,2DJX,C,12 20 2024,00280 540,104.2306,1738
52,2DJX,P,12 20 2024,00280 540,1.9657,1738
53,2DJX,C,12 20 2024,00287 310,97.8980,1334
54,2DJX,P,12 20 2024,00287 310,2.1661,1334
55,2DJX,C,12 20 2024,00288 670,96.6259,678
56,2DJX,P,12 20 2024,00288 670,2.2064,678
57,2DJX,C,12 20 2024,00291 000,94.4797,1322
58,2DJX,P,12 20 2024,00291 000,2.3087,1322
59,2DJX,P,12 20 2024,00301 000,2.9636,950
60,2DJX,C,12 20 2024,00309 840,77.5346,3408
61,2DJX,P,12 20 2024,00309 840,3.5440,3408
62,2DJX,C,12 20 2024,00326 810,62.2849,3080
63,2DJX,P,12 20 2024,00326 810,4.6703,3080
64,2DJX,P,12 20 2024,00330 010,4.8868,900
65,2DJX,C,12 20 2024,00330 670,58.8212,885
66,2DJX,P,12 20 2024,00330 670,4.9315,885
67,2DJX,C,12 20 2024,00333 870,55.9497,729
68,2DJX,P,12 20 2024,00333 870,5.1480,729
69,2DJX,C,12 20 2024,00336 280,53.8880,868
70,2DJX,P,12 20 2024,00336 280,5.4119,868
71,2DJX,C,12 20 2024,00336 400,53.7900,2032
72,2DJX,P,12 20 2024,00336 400,5.4298,2032
73,2DJX,C,12 20 2024,00338 520,52.0675,1010
74,2DJX,P,12 20 2024,00338 520,5.7531,1010
75,2DJX,C,12 20 2024,00338 660,51.9538,575
76,2DJX,P,12 20 2024,00338 660,5.7745,575
77,2DJX,C,12 20 2024,00341 460,49.6792,2306
78,2DJX,P,12 20 2024,00341 460,6.2018,2306
79,2DJX,C,12 20 2024,00344 660,47.0847,733
80,2DJX,P,12 20 2024,00344 660,6.6953,733
81,2DJX,C,12 20 2024,00345 610,46.3162,1824
82,2DJX,P,12 20 2024,00345 610,6.8436,1824
83,2DJX,C,12 20 2024,00346 520,45.5801,1499
84,2DJX,P,12 20 2024,00346 520,6.9856,1499
85,2DJX,C,12 20 2024,00347 160,45.0627,1512
86,2DJX,P,12 20 2024,00347 160,7.0858,1512
87,2DJX,C,12 20 2024,00347 610,44.7002,1537
88,2DJX,P,12 20 2024,00347 610,7.1576,1537
89,2DJX,C,12 20 2024,00347 700,44.6278,615
90,2DJX,P,12 20 2024,00347 700,7.1720,615
91,2DJX,C,12 20 2024,00348 050,44.3464,306
92,2DJX,P,12 20 2024,00348 050,7.2283,306
93,2DJX,C,12 20 2024,00349 410,43.2569,763
94,2DJX,P,12 20 2024,00349 410,7.4513,763
95,2DJX,C,12 20 2024,00349 790,42.9537,2131
96,2DJX,P,12 20 2024,00349 790,7.5148,2131
97,2DJX,C,12 20 2024,00350 010,42.7782,1450
98,2DJX,C,12 20 2024,00350 550,42.3475,1405
99,2DJX,P,12 20 2024,00350 550,7.6419,1405
100,2DJX,C,12 20 2024,00351 740,41.4015,4451
101,2DJX,P,12 20 2024,00351 740,7.8443,4451
102,2DJX,C,12 20 2024,00351 800,41.3539,7419
