,SYMBOL,P/C,EXPIRATION,STRIKE-PRICE,MARK-PRICE,OPEN-INTEREST
0,2DJX,C,06 21 2024,00386 640,7.1901,1682
1,2DJX,P,06 21 2024,00386 640,7.0249,1682
2,2DJX,C,06 21 2024,00391 160,4.9485,2587
3,2DJX,P,06 21 2024,00391 160,9.2649,2587
4,2DJX,C,06 21 2024,00392 730,4.2848,12888
5,2DJX,P,06 21 2024,00392 730,10.1579,12888
6,2DJX,C,06 21 2024,00392 820,4.2484,8375
7,2DJX,P,06 21 2024,00392 820,10.2108,8375
8,2DJX,C,06 21 2024,00393 000,4.1763,79
9,2DJX,P,06 21 2024,00393 000,10.3172,79
10,2DJX,C,06 21 2024,00393 300,4.0578,3860
11,2DJX,P,06 21 2024,00393 300,10.4961,3860
12,2DJX,C,06 21 2024,00393 310,4.0539,643
13,2DJX,P,06 21 2024,00393 310,10.5021,643
14,2DJX,C,06 21 2024,00395 130,3.3815,512
15,2DJX,P,06 21 2024,00395 130,11.6343,512
16,2DJX,P,08 16 2024,00360 000,2.9180,400
17,2DJX,C,09 20 2024,00363 890,30.4838,4245
18,2DJX,P,09 20 2024,00363 890,4.2917,4245
19,2DJX,C,10 18 2024,00400 010,8.8318,1000
20,2DJX,C,11 15 2024,00400 010,10.6808,2000
21,2DJX,C,12 20 2024,00240 470,148.8596,1173
22,2DJX,P,12 20 2024,00240 470,0.0001,1173
23,2DJX,C,12 20 2024,00251 150,138.5401,940
24,2DJX,P,12 20 2024,00251 150,0.0001,940
25,2DJX,C,12 20 2024,00261 010,129.0130,910
26,2DJX,P,12 20 2024,00261 010,0.0001,910
27,2DJX,C,12 20 2024,00262 810,127.2738,360
28,2DJX,P,12 20 2024,00262 810,0.0001,360
29,2DJX,C,12 20 2024,00264 120,126.0080,1700
30,2DJX,P,12 20 2024,00264 120,0.0001,1700
31,2DJX,C,12 20 2024,00265 310,124.8582,1614
32,2DJX,P,12 20 2024,00265 310,0.0001,1614
33,2DJX,C,12 20 2024,00265 890,124.2978,893
34,2DJX,P,12 20 2024,00265 890,0.0001,893
35,2DJX,C,12 20 2024,00266 520,123.6891,579
36,2DJX,P,12 20 2024,00266 520,0.0001,579
37,2DJX,C,12 20 2024,00268 000,122.2591,1062
38,2DJX,P,12 20 2024,00268 000,0.0001,1062
39,2DJX,C,12 20 2024,00270 260,120.0754,1100
40,2DJX,P,12 20 2024,00270 260,0.0001,1100
41,2DJX,C,12 20 2024,00270 910,119.4474,2113
42,2DJX,P,12 20 2024,00270 910,0.0001,2113
43,2DJX,C,12 20 2024,00271 050,119.3121,1233
44,2DJX,P,12 20 2024,00271 050,0.0001,1233
45,2DJX,C,12 20 2024,00271 080,119.2850,528
46,2DJX,P,12 20 2024,00271 080,0.0020,528
47,2DJX,C,12 20 2024,00271 750,118.6816,1078
48,2DJX,P,12 20 2024,00271 750,0.0460,1078
49,2DJX,C,12 20 2024,00273 520,117.0876,715
50,2DJX,P,12 20 2024,00273 520,0.1622,715
51,2DJX,C,12 20 2024,00276 520,114.3859,1721
52,2DJX,P,12 20 2024,00276 520,0.3592,1721
53,2DJX,C,12 20 2024,00280 540,110.7656,1738
54,2DJX,P,12 20 2024,00280 540,0.6232,1738
55,2DJX,C,12 20 2024,00287 310,104.6688,1334
56,2DJX,P,12 20 2024,00287 310,1.0678,1334
57,2DJX,C,12 20 2024,00288 670,103.4440,678
58,2DJX,P,12 20 2024,00288 670,1.1571,678
59,2DJX,C,12 20 2024,00291 000,101.3457,1322
60,2DJX,P,12 20 2024,00291 000,1.3101,1322
61,2DJX,P,12 20 2024,00301 000,1.9668,950
62,2DJX,C,12 20 2024,00309 840,84.3790,3408
63,2DJX,P,12 20 2024,00309 840,2.5473,3408
64,2DJX,C,12 20 2024,00326 810,69.0964,3080
65,2DJX,P,12 20 2024,00326 810,3.6618,3080
66,2DJX,P,12 20 2024,00330 010,3.8719,900
67,2DJX,C,12 20 2024,00330 670,65.6202,885
68,2DJX,P,12 20 2024,00330 670,3.9153,885
69,2DJX,C,12 20 2024,00333 870,62.7384,729
70,2DJX,P,12 20 2024,00333 870,4.1254,729
71,2DJX,C,12 20 2024,00336 280,60.5680,868
